NAME;PRED
6VXX_9797919;0.1709642
6VSB_5749;0.1030195
6VXX_5288784;0.8814013
6VSB_5288795;4.8e-06
6VXX_36910;0.467432
6VXX_92141;7.8e-06
6LU7_735838;0.0
6LU7_54910;0.0
6VXX_124823;5.7e-06
6LU7_3158;9e-07
6M71_4612;0.6225482
6VSB_17754396;0.1071002
6M71_445154;0.4699399
6LU7_1722;0.0
6VSB_25147644;0.6338026
6M71_23644575;0.0735303
6LU7_60511;4.3e-05
6LU7_11965427;0.0
6VXX_5459784;0.1407195
6VXX_236666;0.0402882
6LU7_447805;0.0328647
6VXX_5311412;0.0003362
6M71_16739331;0.9719069
6LU7_5463858;0.0303596
6LU7_7264;0.0
6M71_33625;0.9937233
6M71_2431;0.3904343
6VSB_447736;0.0420821
6LU7_44462678;0.0068273
6M71_25229537;0.7440974
6LU7_10039774;7e-06
6VSB_15478;0.0019542
6M71_46937107;0.6015262
6VSB_56649347;0.0677824
6VXX_5281107;1.2e-06
6VXX_20279;0.1283828
6VSB_449108;0.1880497
6VXX_448088;0.002173
6VSB_4722579;0.4241355
6LU7_30281577;0.0
6VXX_164739;0.0441881
6VSB_19063;0.1774252
6VXX_6714002;0.0015188
6M71_1385;0.0009312
6VXX_9811704;0.0
6M71_10253143;0.489199
6VSB_49866943;0.6032229
6VSB_24798742;0.5145472
6VXX_6710104;0.9905291
6M71_131204;2.1e-05
6VXX_448302;0.7295373
6VSB_4369128;0.0033681
6VXX_5280980;0.6877602
6VXX_15953860;0.4679932
6LU7_21158881;6e-07
6M71_38;0.2064464
6VSB_213049;0.0369601
6LU7_71807;5.96e-05
6VSB_3961;0.0054462
6LU7_6918653;0.0
6VXX_46937109;4.28e-05
6VSB_13308;0.0004797
6LU7_447213;0.8223584
6VXX_20054882;0.5538782
6VXX_38945;0.1281173
6VSB_18104;0.9803839
6VXX_445504;0.3646624
6VSB_16755766;0.0794844
6VSB_25195365;0.8699493
6VXX_3365;0.4031811
6VSB_446136;0.1041368
6VXX_657061;0.9999297
6M71_40391;0.9702401
6M71_11269429;0.0583637
6VXX_5311399;0.0001444
6LU7_24831714;0.0
6VXX_24261;0.7383738
