NAME;PRED
6VXX_9797919;12.808504
6VSB_5749;13.615237
6VXX_5288784;2.2057252
6VSB_5288795;12.918421
6VXX_36910;13.729107
6VXX_92141;13.33938
6LU7_735838;13.625435
6LU7_54910;11.630741
6VXX_124823;4.0717735
6LU7_3158;13.513248
6M71_4612;4.7434025
6VSB_17754396;8.77927
6M71_445154;10.323732
6LU7_1722;5.6303573
6VSB_25147644;13.267869
6M71_23644575;13.390468
6LU7_60511;13.650868
6LU7_11965427;3.9962363
6VXX_5459784;4.3917747
6VXX_236666;3.9373884
6LU7_447805;6.6503735
6VXX_5311412;11.616232
6M71_16739331;11.08522
6LU7_5463858;3.423293
6LU7_7264;13.35258
6M71_33625;13.676605
6M71_2431;13.391803
6VSB_447736;13.46246
6LU7_44462678;4.296147
6M71_25229537;7.393941
6LU7_10039774;13.212875
6VSB_15478;13.36695
6M71_46937107;13.513624
6VSB_56649347;9.680428
6VXX_5281107;13.304051
6VXX_20279;4.0977793
6VSB_449108;4.36464
6VXX_448088;4.875715
6VSB_4722579;7.9406624
6LU7_30281577;12.720941
6VXX_164739;10.143491
6VSB_19063;13.3648405
6VXX_6714002;13.359874
6M71_1385;13.588718
6VXX_9811704;13.571763
6M71_10253143;12.538436
6VSB_49866943;6.119622
6VSB_24798742;12.612862
6VXX_6710104;7.0454583
6M71_131204;13.285768
6VXX_448302;2.6029072
6VSB_4369128;2.4191985
6VXX_5280980;4.25149
6VXX_15953860;2.5932062
6LU7_21158881;10.176361
6M71_38;12.436615
6VSB_213049;5.4569197
6LU7_71807;13.704521
6VSB_3961;13.308664
6LU7_6918653;13.665976
6VXX_46937109;13.161079
6VSB_13308;3.7424195
6LU7_447213;12.2129345
6VXX_20054882;10.455038
6VXX_38945;7.310772
6VSB_18104;13.541362
6VXX_445504;5.3249936
6VSB_16755766;4.9238696
6VSB_25195365;12.214857
6VXX_3365;5.079819
6VSB_446136;9.65444
6VXX_657061;13.296881
6M71_40391;13.465611
6M71_11269429;3.393402
6VXX_5311399;13.038609
6LU7_24831714;13.560294
6VXX_24261;8.701494
6VSB_446605;8.721106
6VXX_5111;3.028701
6VXX_6436140;13.628902
6M71_82146;4.401572
6M71_6470990;13.727905
6M71_9034;10.753763
6VXX_448249;1.9648428
6M71_5327013;6.1052103
6VSB_332;9.77935
6VXX_37801;11.950125
6VXX_448577;3.7262237
6VSB_9932888;4.7167535
6VSB_444721;8.500165
6LU7_16741209;10.000786
6M71_51039094;13.3309965
6VXX_6234;6.316956
6VXX_127516;12.565783
6M71_7186;13.452203
6VXX_11567682;13.4848
6VSB_235905;8.65068
6M71_6398414;-0.4197436
6LU7_9831652;2.6302652
6VSB_657098;4.629465
6LU7_4477692;3.9490263
6VSB_5289294;5.366785
6LU7_2746;13.624899
6VSB_54736486;7.980869
6VSB_11494891;6.1154914
6LU7_445227;13.505899
6M71_11677589;13.721203
6M71_79034;13.358808
6LU7_6031;4.2880893
6VSB_5287565;1.750325
6VXX_84894;1.647372
6M71_11304743;2.7669005
6M71_60870;13.270273
6VSB_4054;13.511922
6LU7_3947;13.323046
6VSB_92745;13.658621
6VXX_739358;13.578673
6VXX_24851688;13.336429
6VXX_3033860;8.5492
6VXX_448993;5.8257523
6LU7_65373;4.9611163
6LU7_5326967;6.9940486
6VXX_5469318;13.343677
6VXX_22323;5.4998784
6VXX_983;5.2865205
6VXX_9864881;13.321226
6VSB_23653531;13.324795
6LU7_446854;13.414817
6VSB_46937061;4.603365
6LU7_3734162;13.101217
6VXX_440995;13.5132675
6VSB_156419;13.420039
6VXX_25230468;13.338785
6VXX_5369209;0.0671773
6VXX_39985;13.747061
6M71_6440180;3.8156424
6VXX_16086836;13.395685
6LU7_588963;13.66262
6M71_25187896;3.5734785
6M71_25113614;5.4160695
6VXX_24871491;3.5259633
6VSB_1001;13.330653
6M71_40466858;13.249314
6VXX_39765;13.50259
6VSB_8612;13.359209
6VSB_23722944;13.345313
6LU7_10993211;13.657096
6M71_23643565;8.777992
6LU7_880;6.235403
6VSB_76958276;11.107361
6VXX_447634;5.4844055
6VSB_10427712;5.853884
6LU7_903;13.463784
6VSB_7027;3.2458458
6LU7_11197931;4.055094
6M71_65624;13.670952
6M71_53232;4.705134
6VSB_5429;11.756525
6M71_1990;9.912719
6VSB_6918336;12.909724
6M71_61119;13.617531
6VSB_491941;13.702099
6VXX_397;11.744954
6LU7_679;7.002285
6M71_446284;13.368244
6VSB_5858;12.812727
6M71_9642;12.290691
6M71_24875259;13.520695
6VSB_10024590;3.1429176
6LU7_9919680;13.587335
6VSB_5288442;8.435426
6VSB_448469;13.4243555
6LU7_5289501;5.368122
6M71_397;12.989942
6VXX_11995761;3.4218297
6VXX_5288981;13.215744
6LU7_10953859;13.246128
6VXX_340;2.2454562
6LU7_1757;4.9066525
6VSB_6479523;9.249085
6LU7_21720;13.145422
6M71_9864;9.145348
6VSB_448069;0.6799965
6LU7_44242317;2.935418
6LU7_175540;13.741669
6M71_10954115;7.1971073
6LU7_19649;-1.0745592
6LU7_11609955;6.939904
6M71_24892822;13.566439
6LU7_448505;1.2468867
6VSB_5311037;2.56941
6M71_5443;4.2390947
6VSB_2576;13.663796
6LU7_22049997;13.67072
6VSB_6031;4.0564613
6LU7_443958;7.8064146
6VXX_175;11.402827
6VXX_25202592;1.2377701
6M71_36688409;5.8944793
6VSB_6634;13.207875
6VXX_5284636;4.290557
6VSB_57363;11.3714485
6LU7_77050711;5.1637077
6VXX_24864553;8.672507
6LU7_4919;13.699452
6M71_25113125;4.296282
6VXX_24764436;13.520943
6VXX_11561383;7.647692
6VXX_447638;4.7230606
6M71_445505;3.5604513
6VSB_9429;6.0942273
6M71_25141092;11.561334
6M71_10668;13.711979
6VXX_449124;0.6401544
6M71_447137;13.15042
6VSB_16873;12.187195
6LU7_5288147;6.651633
6VXX_447400;1.9251812
6VSB_447911;12.146691
6LU7_5289343;5.402863
6VSB_5497;12.508913
6VSB_448403;0.685226
6M71_27501;13.453966
6M71_73333;11.65
6LU7_72493;13.341706
6M71_9600418;4.287739
6VSB_598;11.695995
6VSB_148121;1.5495114
6VSB_3161908;12.332772
6LU7_12454;5.569398
6VSB_5289547;6.89964
6M71_8251;9.597902
6VXX_6420121;13.485936
6VSB_65628;9.844179
6LU7_13916;3.3791823
6VSB_4636204;13.39257
6VXX_71457955;3.6699395
6M71_37497;7.6150937
6VXX_9427;1.156816
6VSB_44129608;13.509656
6M71_543502;5.505461
6M71_3520;4.568049
6LU7_8761;13.30925
6VSB_11340891;5.0327377
6VSB_123868;13.540245
6VSB_121515;3.3053572
6M71_6436135;13.188892
6LU7_83969;13.404194
6M71_891831;13.635736
6VSB_185915;4.474393
6LU7_5287979;9.322488
6VSB_68122;13.716953
6VXX_2799;4.619444
6VXX_16758226;2.3972256
6LU7_11824;8.043524
6VSB_11171679;12.148815
6M71_6918881;13.467574
6M71_3397;5.922463
6LU7_24851689;13.513629
6VXX_60835;13.430437
6M71_2170;13.625891
6LU7_44129631;13.692124
6VXX_150610;4.9398766
6LU7_4630909;7.5670543
6VXX_5158928;2.3094828
6VXX_11984575;13.632259
6LU7_5338;13.639862
6VSB_76008;6.7186103
6VSB_213013;13.803515
6LU7_65064;5.6525707
6VXX_5289547;5.157458
6LU7_11309850;13.376546
6VXX_17753774;1.6858268
6VSB_3883;13.347906
6VSB_6323197;3.8008385
6VXX_46937084;13.483739
6VXX_28204;13.662446
6M71_2333;13.438162
6VXX_68844;13.653312
6VSB_12492;13.6796
6VSB_448006;13.537559
6VXX_5288209;13.219569
6VXX_71492799;8.594641
6VSB_23643565;6.3924484
6M71_5463858;3.2559683
6VXX_3086007;13.298464
6VXX_11290116;5.4599023
6VXX_656913;3.8977268
6LU7_6324616;12.356495
6VXX_18807;13.416231
6VSB_5284553;11.245016
6LU7_9832383;13.370714
6VSB_2343;13.668631
6LU7_445063;5.0431447
6VXX_33478;3.6266632
6VSB_219077;5.219687
6LU7_176885;3.9582083
6M71_3151;13.657485
6M71_4113;9.241652
6LU7_657141;13.453371
6LU7_254;12.179087
6M71_16656685;2.8571358
6VSB_16086422;8.155641
6LU7_10062702;13.639986
6VXX_9547901;13.419726
6LU7_16662431;5.570615
6VSB_71940;13.637066
6LU7_60657;13.630598
6VSB_11511120;13.578305
6M71_24864082;13.317303
6VSB_40589;13.578899
6VSB_11840979;9.903227
6M71_6005;2.3249485
6VXX_5994;13.314157
6VSB_6212;12.468235
6M71_124246;13.385836
6VSB_445528;13.426507
6VXX_137895;13.656194
6M71_445462;2.8581758
6M71_5280489;13.274593
6VSB_3000715;13.340311
6M71_4369425;13.243716
6VSB_3158;13.474587
6M71_9543517;9.336082
6M71_9890801;5.038447
6LU7_977;5.19826
6VXX_71771;13.273386
6VXX_31264;12.751287
6M71_667476;5.406812
6M71_5147;13.342525
6VSB_157919;13.580479
6LU7_4906;13.550544
6VSB_449096;7.287153
6LU7_397;13.305851
6VXX_160134;13.605214
6M71_446090;3.7192895
6VXX_68368;3.0879395
6M71_5479537;10.254114
6VSB_3086401;12.97471
6VSB_2170;13.600432
6VSB_446429;13.435457
6VXX_448384;8.284613
6M71_65249;12.349371
6LU7_451448;1.8069354
6M71_5289210;9.0888405
6VSB_9865375;13.602072
6VSB_5870;13.521554
6LU7_142154;8.24556
6M71_4212;10.701545
6LU7_5139;9.175055
6VXX_5288821;3.58896
6LU7_72075;13.66468
6VXX_4477;13.565518
6VSB_71955;0.7420792
6VXX_5287517;7.6089673
6VXX_9820882;3.4986491
6VXX_11660398;12.443166
6VXX_92109;10.626882
6M71_533975;9.650978
6VSB_3657;5.8902493
6VXX_165838;2.4142628
6LU7_853608;13.502501
6LU7_3677;13.732643
6VSB_445707;3.707908
6M71_4621;13.605243
6M71_5310967;7.5087266
6LU7_656668;9.520931
6VXX_3037234;13.618033
6VSB_6410758;4.617768
6VXX_15991546;9.547196
6VXX_23722944;13.3643675
6VSB_59708;13.242274
6VSB_3485;4.6352324
6M71_21071390;13.624952
6LU7_39941;13.739773
6LU7_5492457;3.50235
6LU7_133967;13.282255
6M71_9907289;13.347446
6VSB_105039;3.3974628
6VSB_2312;13.639399
6LU7_16066663;13.491592
6VXX_11462174;13.202602
6LU7_425841;8.203047
6M71_656959;11.257994
6VXX_5289613;3.6278615
6M71_447701;5.2741814
6VXX_9823454;4.5152006
6M71_460612;3.0968
6VSB_54688400;13.311937
