NAME;PRED
6LU7_1051;0.2826124
6LU7_91443;0.9857062
6LU7_6274;0.9886021
6LU7_34755;0.9356131
6LU7_1060;0.3868675
6LU7_6140;0.9566505
6LU7_171548;0.0236651
6LU7_305;0.459096
6LU7_5962;0.8185337
6LU7_6322;0.6732208
6LU7_54670067;0.2568794
6LU7_1103;0.4785234
6LU7_5960;0.9403293
6LU7_6262;0.8214334
6LU7_6992086;0.4256257
6LU7_6083;0.3054104
6LU7_5280934;0.4376627
6LU7_5951;0.8466879
6LU7_6137;0.8291089
6LU7_6057;0.9079331
6LU7_5280453;0.0859334
6LU7_5281243;0.2666743
6LU7_6992103;0.8330974
6LU7_1110;0.6412442
6LU7_493570;0.004971
6LU7_1738118;0.7059538
6LU7_44272391;0.9494205
6LU7_124886;0.959663
6LU7_750;0.9012493
6LU7_5283731;0.3599739
6LU7_1050;0.117657
6LU7_59098743;0.6734424
6LU7_6106;0.9209443
6LU7_6305;0.9470456
6LU7_6419722;0.9079199
6LU7_1130;0.0196985
6LU7_5280793;0.4091124
6LU7_5280581;0.6362154
6LU7_6992098;0.4812574
6LU7_6971019;0.9401094
6LU7_439153;0.0033831
6LU7_6037;0.9846299
6LU7_446284;0.1037446
6LU7_5950;0.6134836
6LU7_6971018;0.8503542
6LU7_445354;0.7916768
6LU7_14985;1.8e-06
6LU7_1054;0.0001851
6LU7_6112;0.5030096
6LU7_6306;0.6980402
6LU7_6992066;0.9146083
6LU7_5280795;0.0615619
6LU7_4055;0.6751784
6LU7_5957;0.0217621
6LU7_145742;0.8182256
6LU7_190;0.2028393
6LU7_6267;0.7648869
6LU7_54687;0.372475
6LU7_5324346;0.4152913
6LU7_60846;0.945399
6LU7_5362129;0.9943306
6LU7_71398;0.8344162
6LU7_82153;0.4590138
6LU7_2284;0.958501
6LU7_3007;0.878193
6LU7_89594;0.598382
6LU7_25137844;0.0129234
6LU7_3958;0.732215
6LU7_59768;0.5052992
6LU7_5281077;0.4119333
6LU7_34359;0.7832996
6LU7_4771;0.8621778
6LU7_52195;0.0098483
6LU7_5523;0.0181393
6LU7_21704;0.6716126
6LU7_2369;0.221976
6LU7_3365;0.2297022
6LU7_5591;0.9190797
6LU7_65028;0.9865746
6LU7_2519;0.0345403
6LU7_5314;0.0278955
6LU7_5212;0.4009618
6LU7_71329;0.4245916
6LU7_4993;0.9822546
