NAME;PRED
1m5d_1m5d_ligand;0.0670996
5d1u_5d1u_ligand;0.9932247
3m55_3m55_ligand;0.764764
1nfs_1nfs_ligand;0.0008448
6htz_6htz_ligand;0.9925951
1wbw_1wbw_ligand;0.0897551
5ly2_5ly2_ligand;1.0
4qo9_4qo9_ligand;0.1208477
4euc_4euc_ligand;0.1105429
5gjg_5gjg_ligand;0.1489527
3ds6_3ds6_ligand;0.975485
4e9c_4e9c_ligand;0.9893507
5ddb_5ddb_ligand;0.0
2adu_2adu_ligand;0.0012535
4n7g_4n7g_ligand;0.9914683
3d14_3d14_ligand;8.23e-05
2xvn_2xvn_ligand;3e-07
1a5v_1a5v_ligand;0.0
6hry_6hry_ligand;0.0121464
5j7s_5j7s_ligand;0.9723627
5nhl_5nhl_ligand;0.4868386
1e06_1e06_ligand;0.0211126
5zh4_5zh4_ligand;0.8333719
6bsx_6bsx_ligand;0.0
4hdc_4hdc_ligand;0.0
4as9_4as9_ligand;0.0520911
6iil_6iil_ligand;0.0016161
4aw8_4aw8_ligand;0.0
6hvj_6hvj_ligand;0.7485652
1syo_1syo_ligand;0.0
2k3w_2k3w_ligand;0.9999896
6s88_6s88_ligand;0.0
6qmt_6qmt_ligand;0.3652137
6bu3_6bu3_ligand;0.0
6mey_6mey_ligand;0.0
6gva_6gva_ligand;0.0024486
4cd6_4cd6_ligand;0.0
1o2k_1o2k_ligand;0.0076844
5u69_5u69_ligand;0.0
4ufe_4ufe_ligand;0.0263134
2h23_2h23_ligand;0.5126571
2qcm_2qcm_ligand;0.0
2zva_2zva_ligand;0.9315596
5n8t_5n8t_ligand;1.0
6n4t_6n4t_ligand;0.9993562
5oae_5oae_ligand;0.1420089
1bqm_1bqm_ligand;0.0343692
4meo_4meo_ligand;0.0033792
4lpb_4lpb_ligand;0.2165575
5ut4_5ut4_ligand;0.5839126
4nmq_4nmq_ligand;0.9999927
2hwi_2hwi_ligand;6.3e-06
3bel_3bel_ligand;0.9440043
5d1n_5d1n_ligand;0.4704927
5aly_5aly_ligand;0.2582794
3bcn_3bcn_ligand;0.5686512
1qaq_1qaq_ligand;0.5250767
3uat_3uat_ligand;0.9999999
1qm5_1qm5_ligand;0.0
4hgl_4hgl_ligand;0.0260632
3er3_3er3_ligand;0.7360702
2y3p_2y3p_ligand;0.7815712
3qzt_3qzt_ligand;0.9744041
1i8h_1i8h_ligand;0.9999994
1j07_1j07_ligand;0.7298127
1ms0_1ms0_ligand;0.0003634
4nrm_4nrm_ligand;0.3737014
3v66_3v66_ligand;0.0
6hhh_6hhh_ligand;0.7779171
5nb6_5nb6_ligand;0.0207344
2xm9_2xm9_ligand;0.0
1ntk_1ntk_ligand;0.0004917
3k83_3k83_ligand;0.0003477
1ke0_1ke0_ligand;0.0010548
2p9a_2p9a_ligand;4.6e-06
4gvm_4gvm_ligand;0.2913727
4z8d_4z8d_ligand;0.0045427
3blt_3blt_ligand;0.7208422
3piy_3piy_ligand;0.9873196
4obp_4obp_ligand;0.2693142
3qs5_3qs5_ligand;0.9024301
1uwh_1uwh_ligand;0.9759267
5lo5_5lo5_ligand;0.0
2ay1_2ay1_ligand;0.6338656
4xii_4xii_ligand;0.0
2fv9_2fv9_ligand;0.9988406
5oah_5oah_ligand;0.2762184
6ck3_6ck3_ligand;0.8601901
5jm4_5jm4_ligand;0.9828494
1aku_1aku_ligand;0.0
2r3j_2r3j_ligand;0.0021619
5u66_5u66_ligand;1.0
3sie_3sie_ligand;2e-07
1x7b_1x7b_ligand;0.4792174
5ene_5ene_ligand;3.65e-05
5n21_5n21_ligand;0.0510256
4gbz_4gbz_ligand;0.1444259
3mct_3mct_ligand;0.0773405
6qk8_6qk8_ligand;1.0
5aer_5aer_ligand;1.0
4dpy_4dpy_ligand;0.0733633
4fll_4fll_ligand;9.62e-05
4lrh_4lrh_ligand;0.318264
4ttv_4ttv_ligand;0.361164
1g27_1g27_ligand;0.0289463
5gow_5gow_ligand;1.0
3lgp_3lgp_ligand;0.3997043
4n6h_4n6h_ligand;0.0
3rjw_3rjw_ligand;0.9442784
4cl9_4cl9_ligand;0.0
4hkk_4hkk_ligand;0.4227744
6i96_6i96_ligand;3.1e-06
6hvw_6hvw_ligand;0.9914064
4nvq_4nvq_ligand;0.0
2ltx_2ltx_ligand;1.0
1n7j_1n7j_ligand;0.571589
5ovg_5ovg_ligand;0.0
4bo1_4bo1_ligand;0.0547268
1kcs_1kcs_ligand;0.9511667
6ct7_6ct7_ligand;0.9999809
5bvo_5bvo_ligand;0.0
1g3m_1g3m_ligand;0.0008658
3d7d_3d7d_ligand;0.0
1ztq_1ztq_ligand;1.9e-06
2wf0_2wf0_ligand;0.0
6fzu_6fzu_ligand;0.0
6evp_6evp_ligand;0.8449101
3qs4_3qs4_ligand;0.752303
6hys_6hys_ligand;0.2197283
6r0x_6r0x_ligand;0.0
6b7e_6b7e_ligand;2.85e-05
3b1u_3b1u_ligand;7e-07
6sfi_6sfi_ligand;0.0
1skj_1skj_ligand;0.1720356
4xtt_4xtt_ligand;0.0034252
4qye_4qye_ligand;0.0
3spk_3spk_ligand;0.0
6skb_6skb_ligand;0.0
6hu3_6hu3_ligand;0.9921708
3rzb_3rzb_ligand;0.0226727
6apu_6apu_ligand;9.92e-05
4e49_4e49_ligand;0.3430618
6e8m_6e8m_ligand;0.9064242
2y0j_2y0j_ligand;5.4e-06
