NAME;PRED
3lq8_3lq8_ligand;0.9996511
2xvn_2xvn_ligand;4.75e-05
5f39_5f39_ligand;0.5862966
6nzf_6nzf_ligand;0.9669392
1pxk_1pxk_ligand;0.2385012
4at5_4at5_ligand;0.795519
4tuh_4tuh_ligand;0.9935323
6cq5_6cq5_ligand;0.8574609
4jpe_4jpe_ligand;0.8627194
3v9b_3v9b_ligand;0.093773
5obr_5obr_ligand;0.0859275
3wuv_3wuv_ligand;1.0
5qin_5qin_ligand;0.943891
2ccu_2ccu_ligand;0.9421097
3fcb_3fcb_ligand;0.8147434
3ktr_3ktr_ligand;1.0
1u3q_1u3q_ligand;0.9102353
4bjx_4bjx_ligand;0.8025924
1o4n_1o4n_ligand;0.6420277
4bg1_4bg1_ligand;0.4286619
3tkm_3tkm_ligand;0.4862186
3chg_3chg_ligand;0.3016546
6d3z_6d3z_ligand;1.0
5mhq_5mhq_ligand;0.9591551
2pvw_2pvw_ligand;0.8471586
4j70_4j70_ligand;0.9905991
1h0w_1h0w_ligand;0.8994854
1yc5_1yc5_ligand;0.6768767
4wcu_4wcu_ligand;0.0117569
4hso_4hso_ligand;0.759035
5odu_5odu_ligand;0.0002106
3veu_3veu_ligand;0.8543229
1kyn_1kyn_ligand;0.57529
5yzd_5yzd_ligand;0.3572532
6eil_6eil_ligand;0.7915452
4j5b_4j5b_ligand;3.51e-05
6fiv_6fiv_ligand;0.0018436
6q8k_6q8k_ligand;0.9865085
1yi3_1yi3_ligand;0.8967854
4f7l_4f7l_ligand;0.1744501
1ha2_1ha2_ligand;0.1681076
5dif_5dif_ligand;1.0
5cgj_5cgj_ligand;0.005664
4w4s_4w4s_ligand;0.9333536
1uu9_1uu9_ligand;0.9972883
6f5u_6f5u_ligand;0.0003228
4wnk_4wnk_ligand;0.969371
2uw4_2uw4_ligand;0.1987575
1pop_1pop_ligand;0.2389602
3q4j_3q4j_ligand;0.8108756
3qpp_3qpp_ligand;0.8176426
1gx0_1gx0_ligand;0.0583578
5dtq_5dtq_ligand;0.5004427
6md7_6md7_ligand;0.8930376
5c26_5c26_ligand;0.9682868
4txc_4txc_ligand;0.6443154
6s9d_6s9d_ligand;0.418516
1ag9_1ag9_ligand;0.0343831
2qrm_2qrm_ligand;2.79e-05
1hkm_1hkm_ligand;0.0
2v96_2v96_ligand;5.03e-05
6p1l_6p1l_ligand;0.1010707
3q7p_3q7p_ligand;0.1807877
3nil_3nil_ligand;0.1098766
1kak_1kak_ligand;0.9995035
2og8_2og8_ligand;0.9894294
5ett_5ett_ligand;0.9364688
6fgc_6fgc_ligand;0.000797
3dst_3dst_ligand;0.6213752
