NAME;PRED
3lq8_3lq8_ligand;5.1180162
2xvn_2xvn_ligand;9.3068905
5f39_5f39_ligand;13.366643
6nzf_6nzf_ligand;3.9652665
1pxk_1pxk_ligand;13.072117
4at5_4at5_ligand;5.6577506
4tuh_4tuh_ligand;2.9684227
6cq5_6cq5_ligand;10.6650505
4jpe_4jpe_ligand;11.521053
3v9b_3v9b_ligand;13.242014
5obr_5obr_ligand;10.719765
3wuv_3wuv_ligand;-0.3092747
5qin_5qin_ligand;4.518112
2ccu_2ccu_ligand;5.971857
3fcb_3fcb_ligand;6.8572183
3ktr_3ktr_ligand;-3.5893984
1u3q_1u3q_ligand;11.68548
4bjx_4bjx_ligand;4.469056
1o4n_1o4n_ligand;7.047272
4bg1_4bg1_ligand;13.416033
3tkm_3tkm_ligand;5.665773
3chg_3chg_ligand;8.638412
6d3z_6d3z_ligand;-1.4079485
5mhq_5mhq_ligand;2.3453565
2pvw_2pvw_ligand;11.153185
4j70_4j70_ligand;8.431022
1h0w_1h0w_ligand;10.8041935
1yc5_1yc5_ligand;8.372261
4wcu_4wcu_ligand;8.16268
4hso_4hso_ligand;13.49056
5odu_5odu_ligand;13.295277
3veu_3veu_ligand;12.92742
1kyn_1kyn_ligand;10.782986
5yzd_5yzd_ligand;4.180569
6eil_6eil_ligand;4.204543
4j5b_4j5b_ligand;13.70144
6fiv_6fiv_ligand;8.612
6q8k_6q8k_ligand;4.343897
1yi3_1yi3_ligand;11.483112
4f7l_4f7l_ligand;13.6899395
1ha2_1ha2_ligand;13.288687
5dif_5dif_ligand;-3.7493296
5cgj_5cgj_ligand;12.313196
4w4s_4w4s_ligand;5.0980268
1uu9_1uu9_ligand;6.9488554
6f5u_6f5u_ligand;13.350104
4wnk_4wnk_ligand;3.8099551
2uw4_2uw4_ligand;7.784211
1pop_1pop_ligand;3.468078
3q4j_3q4j_ligand;7.484423
3qpp_3qpp_ligand;11.488348
1gx0_1gx0_ligand;7.630144
5dtq_5dtq_ligand;8.184953
6md7_6md7_ligand;7.413916
5c26_5c26_ligand;4.4389772
4txc_4txc_ligand;3.0275953
6s9d_6s9d_ligand;4.8623114
1ag9_1ag9_ligand;8.461743
2qrm_2qrm_ligand;13.434845
1hkm_1hkm_ligand;13.595163
2v96_2v96_ligand;12.745469
6p1l_6p1l_ligand;13.227745
3q7p_3q7p_ligand;4.971963
3nil_3nil_ligand;2.8313937
1kak_1kak_ligand;3.7615604
2og8_2og8_ligand;2.2120624
5ett_5ett_ligand;6.912141
6fgc_6fgc_ligand;13.576954
3dst_3dst_ligand;12.889616
2k0g_2k0g_ligand;6.8426256
2rf2_2rf2_ligand;13.105176
6ott_6ott_ligand;4.700157
4mka_4mka_ligand;7.0823545
5vc5_5vc5_ligand;4.24498
3opp_3opp_ligand;10.421828
6bij_6bij_ligand;-0.1051283
2w68_2w68_ligand;13.69992
3rzb_3rzb_ligand;13.300315
5hu1_5hu1_ligand;3.692416
1i32_1i32_ligand;4.93745
5qaq_5qaq_ligand;12.796801
4ztr_4ztr_ligand;4.6238995
5isl_5isl_ligand;13.627073
3i0r_3i0r_ligand;12.850903
4c6v_4c6v_ligand;13.311569
6cdm_6cdm_ligand;13.274544
6pht_6pht_ligand;13.302742
5aer_5aer_ligand;-1.1086426
1bmn_1bmn_ligand;2.4847572
3d1e_3d1e_ligand;4.4210663
5axp_5axp_ligand;6.3681135
4men_4men_ligand;13.408625
6fse_6fse_ligand;13.624126
1hdt_1hdt_ligand;2.1772485
4qp6_4qp6_ligand;8.944149
5n8j_5n8j_ligand;-0.5285754
2o3z_2o3z_ligand;13.228992
4em7_4em7_ligand;13.205725
2iw8_2iw8_ligand;7.429702
3cf1_3cf1_ligand;4.942548
4v04_4v04_ligand;3.9116127
